cpv_code,cpv_description,table_class
03100000-2,Prodotti dell'agricoltura e dell'orticoltura,D1
03200000-3,"Cereali, patate, verdura, frutta e noci",CHILDREN
03210000-6,Cereali e patate,CHILDREN
03211000-3,Cereali,D1
03212000-0,Patate e ortaggi secchi,D1
03220000-9,"Verdura, frutta e noci",CHILDREN
03221000-6,Ortaggi,D1
03222000-3,Frutta e frutta con guscio,D1
03300000-2,"Prodotti dell'allevamento, della caccia e della pesca",CHILDREN
03310000-5,"Pesce, crostacei e prodotti acquatici",D1
03320000-8,"Bovini, bestiame e animali piccoli",D1
03330000-3,Prodotti di animali di allevamento,D1
09100000-0,Combustibili,CHILDREN
09110000-3,Combustibili solidi,D1
09120000-6,Combustibili gassosi,D1
09130000-9,Petrolio e distillati,CHILDREN
09131000-6,Cherosene avio,D1
09132000-3,Benzina,D1
09133000-0,Gas di petrolio liquefatto (GPL),D1
09134000-7,Gasoli,D1
09135000-4,Oli combustibili,D1
09200000-1,"Prodotti derivati da petrolio, carbone e oli",D1
09300000-2,"Elettricità, riscaldamento, energia solare e nucleare",CHILDREN
09310000-5,Elettricità,D1
09320000-8,"Vapore, acqua calda e prodotti affini",D1
09330000-1,Energia solare,D1
14200000-3,Sabbia e argilla,D1
14300000-4,Prodotti inorganici chimici e fertilizzanti minerali,D1
14400000-5,Sale e cloruro di sodio puro,D1
14500000-6,Prodotti affini delle miniere e delle cave,D1
14600000-7,Minerali metalliferi e leghe,D1
14700000-8,Metalli di base,D1
14800000-9,Prodotti vari di minerali non metallici,D1
15100000-9,"Prodotti di origine animale, carne e prodotti a base di carne",D1
15200000-0,Pesci preparati e conserve di pesce,D1
15300000-1,"Frutta, verdura e prodotti affini",CHILDREN
15310000-4,Patate e prodotti a base di patate,D1
15320000-7,Succhi di frutta e di verdura,D1
15330000-0,Frutta e verdura trasformata,CHILDREN
15331000-7,Verdura trasformata,D1
15332000-4,Frutta e noci trasformate,D1
15400000-2,Oli e grassi animali o vegetali,D1
15500000-3,Prodotti lattiero-caseari,D1
15600000-4,"Prodotti della macinazione, amido e prodotti amilacei",D1
15700000-5,Mangimi per bestiame,D1
15800000-6,Prodotti alimentari vari,D1
15900000-7,"Bevande, tabacco e prodotti affini",D1
