cpv_code,table_class,position,index_type,classification,ateco_code,index_description
03100000-2,D1,10,PC,ECOICOP,0117,Vegetali
03211000-3,D1,10,PC,ECOICOP,0111,Pane e cereali
03212000-0,D1,10,PC,ECOICOP,0117,Vegetali
03221000-6,D1,10,PC,ECOICOP,0117,Vegetali
03222000-3,D1,10,PC,ECOICOP,0116,Frutta
03310000-5,D1,10,PC,ECOICOP,0113,Pesci e prodotti ittici
03320000-8,D1,10,PC,ECOICOP,0112,Carni
03330000-3,D1,10,PC,ECOICOP,011410,Latte intero
09110000-3,D1,10,PC,ECOICOP,0454,Combustibili solidi
09120000-6,D1,10,PC,ECOICOP,0452,Gas
09131000-6,D1,10,PC,ECOICOP,0722,Carburanti e lubrificanti per mezzi di trasporto privati
09132000-3,D1,10,PC,ECOICOP,07222,Benzina
09133000-0,D1,10,PC,ECOICOP,07223,Altri carburanti per mezzi di trasporto privati
09134000-7,D1,10,PC,ECOICOP,07221,Gasolio per mezzi di trasporto
09135000-4,D1,10,PC,ECOICOP,07221,Gasolio per mezzi di trasporto
09200000-1,D1,10,PC,ECOICOP,07224,Lubrificanti
09310000-5,D1,10,PC,ECOICOP,0451,Energia elettrica
09320000-8,D1,10,PPI,ATECO,353,Fornitura di vapore e aria condizionata
09330000-1,D1,10,PPI,ATECO,2711,"Fabbricazione di motori, generatori e trasformatori elettrici"
14200000-3,D1,10,PPI,ATECO,081,"Estrazione di pietra, sabbia e argilla"
14300000-4,D1,10,PPI,ATECO,201,"Fabbricazione di prodotti chimici di base, di fertilizzanti e composti azotati, di materie plastiche e gomma sintetica in forme primarie"
14400000-5,D1,10,PPI,ATECO,089,Estrazione di minerali da cave e miniere nca
14500000-6,D1,10,PPI,ATECO,089,Estrazione di minerali da cave e miniere nca
14600000-7,D1,10,PPI,ATECO,07,Estrazione di minerali metalliferi
14700000-8,D1,10,PPI,ATECO,07,Estrazione di minerali metalliferi
14800000-9,D1,10,PPI,ATECO,08,Altre attività di estrazione di minerali da cave e miniere
15100000-9,D1,10,PC,ECOICOP,0112,Carni
15200000-0,D1,10,PC,ECOICOP,0113,Pesci e prodotti ittici
15310000-4,D1,10,PC,ECOICOP,01174,Patate
15320000-7,D1,10,PC,ECOICOP,01223,Succhi di frutta e verdura
15331000-7,D1,10,PC,ECOICOP,0117,Vegetali
15332000-4,D1,10,PC,ECOICOP,0116,Frutta
15400000-2,D1,10,PC,ECOICOP,0115,Oli e grassi
15500000-3,D1,10,PC,ECOICOP,0114,"Latte, formaggi e uova"
15600000-4,D1,10,PC,ECOICOP,0111,Pane e cereali
15700000-5,D1,10,PPI,ATECO,109,Produzione di prodotti per l'alimentazione degli animali
15800000-6,D1,10,PC,ECOICOP,011,Prodotti Alimentari
15900000-7,D1,10,PC,ECOICOP,021,Bevande alcoliche
16100000-6,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16300000-8,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16400000-9,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16500000-0,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16600000-1,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16700000-2,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
16800000-3,D1,10,PPI,ATECO,283,Fabbricazione di macchine per l'agricoltura e la silvicoltura
18100000-0,D1,10,PPI,ATECO,1412,Confezione di indumenti da lavoro
18200000-1,D1,10,PPI,ATECO,1413,Confezione di altro abbigliamento esterno
18300000-2,D1,10,PPI,ATECO,14,"Confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia"
18400000-3,D1,10,PPI,ATECO,14,"Confezione di articoli di abbigliamento, confezione di articoli in pelle e pelliccia"
18500000-4,D1,10,PC,ECOICOP,1231,Gioielleria ed orologeria
18600000-5,D1,10,PPI,ATECO,142,Confezione di articoli in pelliccia
18800000-7,D1,10,PPI,ATECO,152,Fabbricazione di calzature
18900000-8,D1,10,PPI,ATECO,1512,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
19100000-7,D1,10,PPI,ATECO,151,"Preparazione e concia del cuoio, fabbricazione di articoli da viaggio, borse, pelletteria e selleria, preparazione e tintura di pellicce"
19200000-8,D1,10,PPI,ATECO,13,Industrie tessili
19400000-0,D1,10,PPI,ATECO,13,Industrie tessili
19500000-1,D1,10,PPI,ATECO,22,Fabbricazione di articoli in gomma e materie plastiche
19600000-2,D1,10,PPI,ATECO,13,Industrie tessili
19710000-6,D1,10,PPI,ATECO,2017,Fabbricazione di gomma sintetica in forme primarie
19720000-9,D1,10,PPI,ATECO,206,Fabbricazione di fibre sintetiche e artificiali
19730000-2,D1,10,PPI,ATECO,206,Fabbricazione di fibre sintetiche e artificiali
22200000-2,D1,10,PC,ECOICOP,0952,Giornali e periodici
22300000-3,D1,10,PPI,ATECO,1812,Altra stampa
22400000-4,D1,10,PPI,ATECO,1812,Altra stampa
22500000-5,D1,10,PPI,ATECO,1813,Lavorazioni preliminari alla stampa e ai media
22600000-6,D1,10,PPI,ATECO,203,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici"
22800000-8,D1,10,PPI,ATECO,1812,Altra stampa
22900000-9,D1,10,PPI,ATECO,172,Fabbricazione di articoli di carta e cartone
24100000-5,D1,10,PPI,ATECO,2011,Fabbricazione di gas industriali
24200000-6,D1,10,PPI,ATECO,2012,Fabbricazione di coloranti e pigmenti
24310000-0,D1,10,PPI,ATECO,2013,Fabbricazione di altri prodotti chimici di base inorganici
24320000-3,D1,10,PPI,ATECO,2014,Fabbricazione di altri prodotti chimici di base organici
24400000-8,D1,10,PPI,ATECO,2015,Fabbricazione di fertilizzanti e composti azotati
24500000-9,D1,10,PPI,ATECO,2016,Fabbricazione di materie plastiche in forme primarie
24600000-0,D1,10,PPI,ATECO,2051,Fabbricazione di esplosivi
24910000-6,D1,10,PPI,ATECO,2052,Fabbricazione di colle
24920000-9,D1,10,PPI,ATECO,2053,Fabbricazione di oli essenziali
30100000-0,D1,10,PPI,ATECO,2823,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
30120000-6,D1,10,PPI,ATECO,262,Fabbricazione di computer e unità periferiche
30125000-1,D1,10,PC,ECOICOP,095490,Altri articoli di cancelleria e materiale da disegno (inclusi cartucce e toner per stampanti)
30190000-7,D1,10,PC,ECOICOP,0954,Articoli di cartoleria e materiale da disegno
30197000-6,D1,10,PC,ECOICOP,0954,Articoli di cartoleria e materiale da disegno
30199000-0,D1,10,PC,ECOICOP,09541,Articoli di cartoleria
30200000-1,D1,10,PPI,ATECO,262,Fabbricazione di computer e unità periferiche
31100000-7,D1,10,PPI,ATECO,2711,"Fabbricazione di motori, generatori e trasformatori elettrici"
31200000-8,D1,10,PPI,ATECO,2712,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
31300000-9,D1,10,PPI,ATECO,273,Fabbricazione di cablaggi e apparecchiature di cablaggio
31400000-0,D1,10,PPI,ATECO,272,Fabbricazione di batterie di pile ed accumulatori elettrici
31500000-1,D1,10,PPI,ATECO,274,Fabbricazione di apparecchiature per illuminazione
31600000-2,D1,10,PPI,ATECO,279,Fabbricazione di altre apparecchiature elettriche
31700000-3,D1,10,PPI,ATECO,261,Fabbricazione di componenti elettronici e schede elettroniche
32200000-5,D1,10,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunicazioni
32250000-0,D1,10,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunicazioni
32300000-6,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32320000-2,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32323000-3,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32324000-0,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32330000-5,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32333200-8,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32340000-8,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32350000-1,D1,10,PPI,ATECO,264,Fabbricazione di prodotti di elettronica di consumo audio e video
32400000-7,D1,10,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunicazioni
32500000-8,D1,10,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunicazioni
32521000-1,D1,10,PPI,ATECO,273,Fabbricazione di cablaggi e apparecchiature di cablaggio
32552100-8,D1,10,PPI,ATECO,263,Fabbricazione di apparecchiature per le telecomunicazioni
32561000-3,D1,10,PPI,ATECO,2731,Fabbricazione di cavi a fibra ottica
32562000-0,D1,10,PPI,ATECO,2731,Fabbricazione di cavi a fibra ottica
32572000-3,D1,10,PPI,ATECO,273,Fabbricazione di cablaggi e apparecchiature di cablaggio
33110000-4,D1,10,PPI,ATECO,266,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
33120000-7,D1,10,PPI,ATECO,266,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
33130000-0,D1,10,PPI,ATECO,325,Fabbricazione di strumenti e forniture mediche e dentistiche
33140000-3,D1,10,PPI,ATECO,325,Fabbricazione di strumenti e forniture mediche e dentistiche
33150000-6,D1,10,PPI,ATECO,266,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
33160000-9,D1,10,PPI,ATECO,266,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
33170000-2,D1,10,PPI,ATECO,266,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
33180000-5,D1,10,PPI,ATECO,325,Fabbricazione di strumenti e forniture mediche e dentistiche
33190000-8,D1,10,PPI,ATECO,325,Fabbricazione di strumenti e forniture mediche e dentistiche
33700000-7,D1,10,PC,ECOICOP,121,Beni e servizi per la cura della persona
